chars,letters,n_words,n_sentences,avg_syl,index_SMOG,count_top_5_in_Slovar_Slov,Fin_literacy_orientation
756,593,90,9,2.8333333333333335,10.258885019106316,4,1
2136,1561,256,21,2.671875,10.258885019106316,14,1
1259,1024,153,11,2.888888888888889,12.834287230815805,6,1
2488,1980,332,22,2.5180722891566263,9.2842839462516,14,1
2901,1905,296,27,2.75,10.538632294413198,12,1
608,407,70,10,2.357142857142857,4.89249935467213,2,1
1194,846,150,14,2.48,6.301639784888442,14,1
2303,1811,298,30,2.577181208053691,9.734998709344262,30,1
1907,1332,224,20,2.513392857142857,7.706663764329736,16,1
2143,1498,241,25,2.6224066390041494,9.237996517195684,19,1
3259,2636,395,30,2.759493670886076,12.020978795960394,38,1
3513,2598,434,39,2.5483870967741935,9.003784474190589,24,1
932,752,112,9,2.7589285714285716,11.838205027813938,2,1
2169,1712,281,21,2.6548042704626336,10.791876221680493,13,1
1428,1026,162,16,2.654320987654321,8.891153770860452,21,1
4164,2641,448,42,2.4441964285714284,7.268771825363832,50,1
3436,2757,394,27,2.9771573604060912,14.3869323646877,52,1
2061,1585,267,23,2.411985018726592,8.294418401719353,11,1
582,321,53,9,2.641509433962264,6.6398069437241904,0,1
1007,664,105,13,2.5904761904761906,6.537633205983875,10,1
505,323,55,5,2.4545454545454546,9.73499870934426,3,1
1955,1515,236,18,2.6864406779661016,10.67574441836639,12,1
2153,1597,278,20,2.406474820143885,9.10948674042851,42,1
437,299,55,5,2.418181818181818,8.891153770860452,3,1
1407,1151,177,11,2.790960451977401,11.359641904145331,12,1
2863,2142,337,27,2.635014836795252,9.824263257259968,21,1
1112,780,130,12,2.623076923076923,8.891153770860452,14,1
1560,1231,215,18,2.390697674418605,8.120832257786885,18,1
382,292,46,5,2.869565217391304,11.233273223882176,4,1
1958,1575,248,23,2.8024193548387095,10.314218134521669,14,1
1763,1338,231,20,2.3896103896103895,7.447039948519948,9,1
907,713,93,8,3.225806451612903,12.938085583204359,16,1
1648,782,147,17,2.163265306122449,4.8447888378947415,8,1
1917,1451,231,20,2.6926406926406927,10.510994216612493,8,1
1131,892,149,9,2.5167785234899327,9.824263257259968,18,1
722,574,89,7,2.7191011235955056,12.09846166825577,12,1
375,232,41,6,2.5365853658536586,5.154442509553157,4,1
569,375,69,6,2.347826086956522,8.120832257786885,8,1
3000,2349,349,24,2.8510028653295127,11.745747090288848,49,1
740,485,88,6,2.4318181818181817,10.878157738045749,0,1
2897,1900,306,32,2.588235294117647,8.171118303534312,19,1
2502,1887,330,26,2.396969696969697,8.182678620138727,8,1
1465,996,149,13,2.738255033557047,8.891153770860452,10,1
1208,755,126,15,2.507936507936508,6.506665806229508,10,1
769,567,101,3,2.396039603960396,13.555085461904095,7,1
396,290,53,3,2.3962264150943398,11.46388043860048,5,1
3311,2534,396,35,2.787878787878788,11.233273223882176,30,1
1340,919,141,17,2.8226950354609928,9.147472176379546,12,1
2817,2019,346,27,2.4739884393063583,9.523444365601572,21,1
2588,1871,342,28,2.327485380116959,6.074230834127884,26,1
465,338,58,5,2.4655172413793105,6.898328263160288,5,1
1043,765,123,15,2.658536585365854,8.891153770860452,6,1
502,388,66,3,2.4545454545454546,10.258885019106316,5,1
420,310,49,7,2.6122448979591835,8.235317866242495,2,1
2458,1859,304,27,2.6052631578947367,7.84716472685923,25,1
1024,574,103,11,2.349514563106796,8.047124483212702,5,1
908,683,110,7,2.590909090909091,11.13297278325115,13,1
821,603,92,9,2.847826086956522,10.67574441836639,8,1
2340,1490,265,27,2.452830188679245,6.184776400283997,42,1
2205,1667,276,24,2.550724637681159,9.252164600425997,24,1
507,389,62,7,2.7096774193548385,7.5221387261517805,2,1
1471,1152,165,15,2.9515151515151516,12.343125450158448,18,1
928,711,118,9,2.5084745762711864,7.268771825363832,7,1
2068,1555,240,17,2.720833333333333,9.639577675789484,16,1
398,287,50,5,2.38,6.898328263160288,7,1
540,409,65,5,2.5384615384615383,7.957768332469028,0,1
2903,2225,351,33,2.737891737891738,9.53732487761083,15,1
3629,2834,496,41,2.4233870967741935,9.208900775455215,35,1
2158,1578,271,23,2.4723247232472323,8.498014945638953,12,1
1291,964,162,14,2.5555555555555554,9.201463583180876,11,1
359,289,48,5,2.5833333333333335,5.641636611941087,1,1
453,293,49,6,2.489795918367347,7.268771825363832,1,1
1191,759,115,15,2.8434782608695652,8.280666234677888,9,1
1574,1132,182,15,2.6043956043956045,8.280666234677888,9,1
791,508,85,10,2.4352941176470586,6.898328263160288,7,1
285,223,40,4,2.325,6.301639784888442,1,1
898,615,84,10,3.0833333333333335,9.73499870934426,6,1
3382,2152,336,31,2.7142857142857144,9.83858452978643,19,1
1021,754,114,11,2.8596491228070176,10.712832644283601,12,1
1198,993,143,9,2.93006993006993,13.872895660622072,10,1
879,671,119,9,2.4201680672268906,6.6398069437241904,4,1
1782,1360,219,16,2.625570776255708,10.178814096428074,21,1
3402,2661,392,26,2.854591836734694,12.908893958896849,43,1
2230,1664,240,24,2.9625,11.0275186935239,18,1
681,519,88,4,2.477272727272727,12.553279569776885,2,1
1016,798,143,5,2.3986013986013988,12.553279569776885,9,1
536,357,59,9,2.5084745762711864,5.154442509553157,5,1
959,702,119,9,2.4453781512605044,10.258885019106316,16,1
531,379,73,7,2.232876712328767,6.733284051593626,4,1
4255,3261,519,38,2.6204238921001926,10.491312178074173,28,1
1026,846,133,10,2.706766917293233,11.577454185551986,10,1
1580,1253,188,13,2.8617021276595747,11.809833855445932,4,1
1085,804,130,11,2.5923076923076924,8.479709366283041,6,1
848,655,106,5,2.5660377358490565,12.553279569776885,3,1
2224,1822,277,21,2.7581227436823106,11.46388043860048,30,1
902,754,117,7,2.752136752136752,13.416568103187252,12,1
531,426,72,7,2.3472222222222223,5.8378937693874695,4,1
1941,1565,245,23,2.816326530612245,9.977594393143923,14,1
3825,2777,446,39,2.57847533632287,8.777069587767913,32,1
538,336,53,7,2.69811320754717,8.235317866242495,4,1
445,330,59,5,2.2542372881355934,6.898328263160288,7,1
726,467,76,7,2.5657894736842106,9.501590946955513,4,1
885,699,114,6,2.6052631578947367,10.258885019106316,10,1
4583,3300,521,46,2.7523992322456814,10.231105688650828,43,1
1457,908,138,20,2.891304347826087,8.891153770860452,14,1
1067,806,132,16,2.5984848484848486,8.891153770860452,11,1
838,534,82,10,2.6951219512195124,8.891153770860452,6,1
1033,772,123,8,2.6747967479674797,12.156248386680327,17,1
1858,1364,227,22,2.5814977973568283,7.1028008620689125,12,1
2832,2111,342,27,2.6198830409356724,10.116096378253904,11,1
887,438,72,13,2.5694444444444446,6.0563812220517095,4,1
1912,808,145,25,2.220689655172414,5.051311827910753,8,1
1621,1298,203,11,2.793103448275862,14.155601724137826,15,1
1475,1102,179,18,2.6145251396648046,8.642057055469573,16,1
458,301,44,5,2.9545454545454546,9.73499870934426,5,1
744,493,83,8,2.4578313253012047,8.320142078586075,1,1
2083,1673,284,22,2.566901408450704,11.040996315166337,20,1
1922,1570,237,16,2.8607594936708862,12.156248386680327,19,1
735,381,62,10,2.5483870967741935,7.447039948519948,8,1
530,415,72,6,2.388888888888889,3.6593859126819157,5,1
354,286,45,3,2.511111111111111,13.555085461904095,3,1
655,458,74,5,2.6216216216216215,8.891153770860452,6,1
822,668,102,7,2.7450980392156863,12.553279569776885,10,1
753,475,78,11,2.5,6.579624797796578,6,1
1153,806,138,14,2.572463768115942,8.569548948489839,9,1
1206,918,139,10,2.79136690647482,11.911652498703544,21,1
1356,1024,167,10,2.5269461077844313,8.437454917911632,12,1
1824,1446,234,18,2.606837606837607,9.133422017915692,18,1
3703,2758,407,34,2.945945945945946,13.611710806531748,33,1
853,668,123,12,2.4390243902439024,8.514760284063966,10,1
470,343,53,4,2.849056603773585,12.553279569776885,6,1
775,563,84,5,2.892857142857143,15.363327528659473,5,1
2195,1672,293,21,2.491467576791809,9.099209384039607,7,1
1725,1141,198,21,2.3686868686868685,4.775795473477756,17,1
1146,949,143,7,2.888111888111888,15.363327528659473,15,1
578,430,69,8,2.8115942028985508,9.427459677332664,5,1
744,250,47,12,2.25531914893617,4.4705768854302255,1,1
2837,2157,348,26,2.6839080459770117,11.551344403021897,22,1
820,573,83,8,2.783132530120482,8.320142078586075,8,1
664,481,81,11,2.493827160493827,6.579624797796578,2,1
734,472,66,9,2.9696969696969697,10.67574441836639,2,1
3110,2490,385,23,2.7116883116883117,12.82219806761001,23,1
939,725,100,9,3.09,13.229613887448382,10,1
1786,1209,187,18,2.716577540106952,11.272036852154386,27,1
2017,1535,252,19,2.5436507936507935,10.39234016071798,23,1
640,509,87,8,2.5057471264367814,8.320142078586075,3,1
2441,1926,301,21,2.787375415282392,12.40353429281716,25,1
1192,749,103,17,2.883495145631068,8.62717902343189,10,1
825,656,96,7,2.96875,13.416568103187252,7,1
2133,1694,276,26,2.6956521739130435,9.546922578474486,20,1
1300,948,138,15,2.949275362318841,10.75716893799041,14,1
2317,1528,266,25,2.4135338345864663,7.957768332469028,15,1
2442,1890,323,24,2.386996904024768,8.891153770860452,29,1
376,304,44,6,2.8181818181818183,8.120832257786885,5,1
1713,1309,206,14,2.6650485436893203,10.61719992645707,16,1
1466,1027,152,18,2.9473684210526314,9.824263257259968,12,1
813,487,79,12,2.5949367088607596,6.802542730952047,2,1
862,587,92,10,2.8152173913043477,10.878157738045749,9,1
454,307,50,4,2.64,7.706663764329736,4,1
3323,2470,406,37,2.5689655172413794,8.399588110896348,24,1
521,357,60,7,2.5166666666666666,6.733284051593626,2,1
2567,1948,322,28,2.549689440993789,9.501590946955513,18,1
2278,1712,280,24,2.625,9.427459677332664,20,1
925,643,119,12,2.2857142857142856,5.7569402193002395,18,1
882,560,97,11,2.4742268041237114,8.047124483212702,5,1
2283,1727,296,31,2.5,7.665387648193495,41,1
1050,848,121,9,2.8512396694214877,11.838205027813938,16,1
499,349,62,4,2.306451612903226,6.301639784888442,2,1
574,456,67,5,2.8805970149253732,12.553279569776885,4,1
2389,1827,317,29,2.473186119873817,7.206270459991834,34,1
581,383,60,10,2.6333333333333333,4.89249935467213,7,1
804,601,97,12,2.618556701030928,8.120832257786885,6,1
493,402,62,5,2.6451612903225805,6.898328263160288,6,1
766,630,97,9,2.8556701030927836,13.229613887448382,11,1
2023,1632,269,20,2.5947955390334574,10.878157738045749,7,1
1987,1521,242,23,2.644628099173554,8.294418401719353,27,1
580,374,65,10,2.523076923076923,6.301639784888442,9,1
937,615,95,14,2.7473684210526317,7.138693210216636,6,1
2093,1531,231,18,2.831168831168831,12.553279569776885,32,1
2337,1773,289,27,2.640138408304498,9.67502910048511,31,1
1337,797,123,14,2.7804878048780486,8.569548948489839,10,1
1777,1394,230,20,2.6608695652173915,9.322680302911344,22,1
639,448,70,5,2.7,11.233273223882176,0,1
1035,780,116,9,2.8793103448275863,12.895898610494758,6,1
933,687,114,8,2.508771929824561,9.934710415586288,16,1
422,318,49,7,2.7346938775510203,8.235317866242495,2,1
833,563,95,10,2.4526315789473685,7.447039948519948,1,1
1955,1498,234,21,2.6965811965811968,9.501590946955513,7,1
4089,3281,566,34,2.392226148409894,8.073216312676607,80,1
1353,819,128,9,2.7734375,12.553279569776885,7,1
1414,959,158,12,2.5949367088607596,10.878157738045749,12,1
1908,1410,253,21,2.3517786561264824,5.506878577494995,13,1
3857,2630,406,39,2.7807881773399017,9.96002341584338,44,1
2979,2059,345,29,2.5130434782608697,8.891153770860452,39,1
1201,902,146,10,2.5821917808219177,7.957768332469028,16,1
1725,1152,196,12,2.4948979591836733,9.934710415586288,22,1
1294,968,164,9,2.481707317073171,10.67574441836639,26,1
1369,831,118,15,3.0084745762711864,10.510994216612493,17,1
2756,2162,373,27,2.4691689008042896,9.97125290773596,11,1
336,255,43,4,2.488372093023256,8.891153770860452,2,1
1999,1665,249,17,2.8112449799196786,10.983800803014477,25,1
1530,1212,190,18,2.705263157894737,8.120832257786885,21,1
2362,1758,287,24,2.5993031358885017,7.9164742208098975,35,1
877,686,109,10,2.779816513761468,11.577454185551986,17,1
2203,1642,257,27,2.7704280155642023,9.212754720828999,27,1
3654,2720,443,33,2.6839729119638824,12.07034386640693,13,1
327,265,41,2,2.6097560975609757,12.553279569776885,2,1
1014,793,115,11,2.973913043478261,10.712832644283601,6,1
2444,1834,298,35,2.5838926174496644,7.95776833246903,16,1
859,602,106,6,2.349056603773585,8.120832257786885,6,1
349,226,50,7,1.98,5.8378937693874695,2,1
1564,1230,198,10,2.676767676767677,13.746656526320576,26,1
980,813,127,9,2.7874015748031495,14.183561318915896,17,1
1950,1338,211,17,2.7109004739336493,9.876393031016011,13,1
1527,1092,189,20,2.3968253968253967,6.301639784888442,16,1
2091,1499,244,18,2.5778688524590163,10.469399641480736,16,1
303,250,40,2,2.65,14.02909152985272,7,1
1741,1355,215,18,2.6790697674418604,9.133422017915692,18,1
1260,788,126,13,2.626984126984127,9.224898867604441,10,1
316,247,48,2,2.1666666666666665,8.891153770860452,5,1
1563,1205,201,12,2.6318407960199006,11.174874531127681,26,1
818,553,84,8,2.6547619047619047,11.745747090288848,14,1
4044,3005,513,48,2.6432748538011697,9.851991719373501,51,1
4385,3186,495,43,2.7252525252525253,9.487843171028551,38,1
767,608,97,6,2.7216494845360826,11.46388043860048,13,1
1217,895,153,10,2.503267973856209,10.130466259057664,8,1
3595,2664,372,38,3.0403225806451615,10.589354818963066,32,1
1670,1076,170,18,2.664705882352941,9.599537510616244,21,1
1710,1347,209,19,2.7607655502392343,9.56356925659345,11,1
2914,2121,369,28,2.4715447154471546,8.731840654081205,33,1
1006,781,137,10,2.394160583941606,6.898328263160288,19,1
1090,781,137,14,2.4160583941605838,7.886845210742832,14,1
1384,1049,163,11,2.736196319018405,10.024166631854515,9,1
1767,1303,220,18,2.5681818181818183,10.043937050921313,34,1
1111,856,147,10,2.4489795918367347,8.437454917911632,11,1
1205,880,134,9,2.7388059701492535,12.553279569776885,7,1
1545,1170,186,20,2.6344086021505375,6.898328263160288,7,1
1338,920,142,17,2.76056338028169,8.354817878797826,8,1
1616,1143,185,26,2.6594594594594594,7.995695496498524,9,1
2737,1910,307,30,2.6547231270358305,10.000390277103039,16,1
964,682,109,11,2.688073394495413,8.479709366283041,16,1
1318,1056,160,11,2.80625,11.971409312660985,7,1
2184,1493,228,18,2.75,11.272036852154386,27,1
1104,742,125,13,2.592,6.985571630814135,15,1
436,353,63,4,2.253968253968254,8.891153770860452,6,1
722,591,82,6,3.1219512195121952,14.931879361603942,9,1
2314,1779,288,28,2.5833333333333335,8.404105064492034,22,1
1358,970,163,12,2.5337423312883436,8.891153770860452,17,1
459,353,67,4,2.3134328358208953,9.934710415586288,2,1
865,619,104,11,2.5865384615384617,10.024166631854515,7,1
781,572,90,8,2.7222222222222223,9.427459677332664,10,1
2149,1586,272,28,2.426470588235294,6.521061957448936,19,1
683,557,75,7,3.2266666666666666,12.992123914897872,9,1
970,593,104,12,2.3846153846153846,5.154442509553157,8,1
2184,1761,281,22,2.697508896797153,9.66134746016395,18,1
915,680,107,10,2.6448598130841123,10.878157738045749,6,1
1726,1344,200,13,2.895,13.921143261628272,15,1
1058,823,132,13,2.893939393939394,13.02526641196775,20,1
974,673,101,13,2.702970297029703,8.544305785008612,4,1
1557,1158,188,18,2.601063829787234,7.5635359333819805,15,1
1809,1462,237,20,2.50210970464135,7.706663764329736,31,1
1007,740,115,12,2.582608695652174,7.268771825363832,15,1
1121,843,138,11,2.630434782608696,9.66134746016395,6,1
337,277,42,3,2.7142857142857144,10.258885019106316,3,1
1364,875,125,14,2.848,10.61719992645707,6,1
1175,822,134,14,2.5522388059701493,7.5221387261517805,17,1
746,543,87,8,2.6436781609195403,8.891153770860452,3,1
2549,2017,335,25,2.5611940298507463,9.895092178339418,38,1
2386,1678,266,23,2.6466165413533833,8.085665065411716,29,1
361,289,51,4,2.5686274509803924,6.301639784888442,4,1
725,485,86,8,2.36046511627907,8.320142078586075,9,1
864,639,113,11,2.3716814159292037,8.047124483212702,10,1
2136,1421,227,20,2.696035242290749,10.322492394740433,22,1
2502,1330,198,36,2.8686868686868685,9.133422017915692,14,1
872,410,64,15,2.84375,6.8983282631602885,7,1
1257,1036,158,9,2.867088607594937,14.183561318915896,30,1
2448,1671,277,24,2.555956678700361,9.427459677332664,23,1
531,367,63,6,2.4444444444444446,7.268771825363832,6,1
842,678,113,7,2.504424778761062,10.07492607739044,7,1
1162,811,128,16,2.59375,6.68086532814534,16,1
454,303,53,5,2.509433962264151,7.957768332469028,1,1
778,529,75,12,3.0933333333333333,9.252164600425997,6,1
631,472,81,7,2.4814814814814814,8.891153770860452,11,1
1066,787,110,7,3.0272727272727273,15.363327528659473,8,1
416,274,52,6,2.230769230769231,7.268771825363832,2,1
1034,820,131,6,2.687022900763359,13.063825981112037,11,1
2660,1910,310,24,2.6225806451612903,10.098105128165544,10,1
531,417,64,2,2.6875,16.59028415717215,12,1
908,440,68,21,2.7058823529411766,5.8378937693874695,7,1
3853,2630,428,42,2.5841121495327104,8.004699120346295,20,1
692,482,80,6,2.4875,10.258885019106316,0,1
2638,2020,352,27,2.3920454545454546,8.030652530640262,24,1
803,610,89,8,2.831460674157303,10.878157738045749,4,1
852,612,100,8,2.51,9.934710415586288,14,1
359,284,55,3,2.2363636363636363,8.891153770860452,8,1
1021,751,114,8,2.824561403508772,12.553279569776885,8,1
740,608,93,6,2.752688172043011,11.46388043860048,5,1
1218,791,128,17,2.53125,4.8447888378947415,8,1
3369,2591,452,45,2.4292035398230087,7.84716472685923,45,1
1423,949,147,12,2.6802721088435373,10.573077813390276,18,1
647,468,72,7,2.75,8.891153770860452,5,1
458,322,55,6,2.5272727272727273,6.301639784888442,8,1
503,413,61,5,2.8852459016393444,11.911652498703544,7,1
581,420,66,6,2.6818181818181817,7.268771825363832,6,1
1237,941,156,12,2.4871794871794872,9.252164600425997,8,1
1173,846,131,14,2.7709923664122136,8.569548948489839,13,1
753,562,98,7,2.4183673469387754,9.501590946955513,6,1
639,428,69,11,2.536231884057971,5.3814163221418,3,1
2356,1828,291,21,2.6666666666666665,10.07492607739044,18,1
589,386,57,5,2.719298245614035,11.911652498703544,11,1
975,722,117,15,2.6923076923076925,9.181104350880384,3,1
899,637,97,11,2.731958762886598,8.891153770860452,11,1
1507,925,148,15,2.668918918918919,7.6211117633629835,11,1
309,245,40,4,2.675,4.4705768854302255,5,1
1359,912,164,15,2.317073170731707,6.506665806229508,20,1
1222,878,138,11,2.5217391304347827,6.579624797796578,12,1
999,801,118,10,2.8728813559322033,12.236689460226678,4,1
534,364,62,8,2.596774193548387,9.427459677332664,4,1
1519,1217,199,13,2.7035175879396984,12.06276244410342,18,1
2545,2106,299,24,2.9866220735785953,12.938085583204359,16,1
931,594,92,12,2.782608695652174,7.706663764329736,12,1
1801,1284,192,19,2.8645833333333335,9.98659901575987,13,1
1973,1460,245,25,2.4571428571428573,8.530136791349536,41,1
1103,823,137,14,2.613138686131387,8.569548948489839,14,1
1046,796,127,11,2.677165354330709,9.2842839462516,12,1
850,621,114,9,2.3947368421052633,7.84716472685923,15,1
1053,674,128,12,2.3046875,8.514760284063966,9,1
495,324,55,5,2.4545454545454546,8.891153770860452,4,1
1660,1264,212,13,2.518867924528302,9.546922578474486,18,1
480,349,48,7,3.0625,10.07492607739044,7,1
690,484,77,6,2.5714285714285716,10.258885019106316,11,1
512,428,59,6,3.1016949152542375,11.46388043860048,9,1
1419,1019,171,15,2.47953216374269,9.462126929304203,16,1
466,315,49,3,2.673469387755102,8.891153770860452,2,1
1881,1444,236,17,2.555084745762712,10.107633916582968,39,1
345,270,48,6,2.4375,8.891153770860452,6,1
1253,953,148,13,2.75,11.016101614310559,7,1
1180,956,153,13,2.7516339869281046,11.809833855445932,10,1
1577,1221,185,17,2.810810810810811,10.107633916582968,20,1
621,421,68,6,2.6029411764705883,9.599537510616244,5,1
2514,2093,314,23,2.843949044585987,11.997297311253215,39,1
2153,1502,231,17,2.7835497835497836,12.368035557669089,9,1
335,276,41,5,2.8536585365853657,8.891153770860452,4,1
1636,1329,189,14,3.015873015873016,13.206057811626444,14,1
517,317,52,4,2.576923076923077,8.891153770860452,5,1
445,298,51,4,2.4901960784313726,7.706663764329736,2,1
765,609,90,7,2.9,11.13297278325115,2,1
715,414,64,12,2.796875,8.120832257786885,2,1
620,469,77,5,2.5584415584415585,10.510994216612493,7,1
646,465,68,6,2.8970588235294117,11.46388043860048,6,1
1607,945,146,19,2.835616438356164,8.412894235849215,14,1
734,582,93,8,2.6989247311827955,10.878157738045749,6,1
1341,982,160,16,2.59375,7.039545764926359,13,1
860,577,93,9,2.5376344086021505,6.6398069437241904,12,1
445,330,54,3,2.5185185185185186,10.258885019106316,9,1
931,663,106,11,2.6132075471698113,9.2842839462516,5,1
2705,1752,261,27,2.7624521072796937,10.538632294413198,29,1
1271,905,143,18,2.6713286713286712,7.84716472685923,16,1
500,379,55,6,2.8363636363636364,11.46388043860048,8,1
2172,1307,209,18,2.6985645933014353,10.043937050921313,17,1
3088,2426,379,22,2.6754617414248023,14.405277775090248,25,1
1298,909,157,15,2.4140127388535033,7.268771825363832,23,1
1849,1450,241,23,2.6016597510373445,10.147309155112222,30,1
1605,1258,196,13,2.6785714285714284,11.551344403021897,21,1
1509,1044,165,13,2.690909090909091,11.809833855445932,14,1
1235,997,158,10,2.6772151898734178,13.4582735652283,18,1
2431,1943,312,22,2.6794871794871793,10.024166631854515,40,1
1105,797,120,12,2.9,9.934710415586288,14,1
706,488,76,7,2.6315789473684212,6.733284051593626,11,1
593,418,67,8,2.8507462686567164,11.32030390007297,10,1
445,348,51,4,2.9215686274509802,10.878157738045749,3,1
1047,864,120,6,3.1083333333333334,15.782948441619796,9,1
401,235,42,4,2.238095238095238,0.05,11,1
1076,804,126,9,2.7857142857142856,12.201003616528508,13,1
571,386,70,6,2.342857142857143,8.891153770860452,8,1
378,262,41,5,2.731707317073171,7.957768332469028,7,-1
600,426,73,11,2.4383561643835616,6.010704656330492,9,-1
590,456,69,6,2.8115942028985508,12.020978795960394,12,-1
1067,702,109,13,2.6788990825688073,6.537633205983875,2,-1
449,299,50,6,2.3,7.268771825363832,8,-1
590,334,47,12,3.0638297872340425,7.268771825363832,3,-1
1808,995,139,19,3.035971223021583,10.39234016071798,5,-1
408,337,45,6,3.2444444444444445,10.878157738045749,5,-1
1160,797,119,18,2.7478991596638656,7.268771825363832,8,-1
1529,1211,177,9,2.824858757062147,15.077071866763962,16,-1
362,271,40,3,2.875,10.258885019106316,1,-1
329,255,42,3,2.7142857142857144,12.553279569776885,2,-1
306,210,41,3,2.317073170731707,5.154442509553157,4,-1
334,250,40,3,2.525,11.46388043860048,2,-1
610,500,72,6,3.0555555555555554,11.46388043860048,4,-1
330,228,43,2,2.302325581395349,12.553279569776885,5,-1
448,341,61,8,2.3934426229508197,4.4705768854302255,4,-1
684,529,93,7,2.4623655913978495,8.891153770860452,5,-1
566,322,57,11,2.2982456140350878,3.8198806347151097,0,-1
1520,1224,205,12,2.478048780487805,10.258885019106316,11,-1
711,556,74,8,3.1216216216216215,12.156248386680327,4,-1
473,266,42,9,2.5952380952380953,6.6398069437241904,1,-1
336,243,40,3,2.4,7.268771825363832,2,-1
658,453,74,8,2.4594594594594597,8.320142078586075,10,-1
531,361,63,6,2.3015873015873014,6.301639784888442,6,-1
688,554,76,4,3.039473684210526,14.711394885889952,11,-1
561,338,57,8,2.508771929824561,6.301639784888442,0,-1
543,433,69,5,2.579710144927536,11.233273223882176,12,-1
922,709,100,5,3.13,19.41999741868852,1,-1
904,610,96,7,2.71875,10.61719992645707,12,-1
456,358,49,4,3.122448979591837,10.878157738045749,1,-1
789,561,90,8,2.7333333333333334,11.32030390007297,9,-1
1004,734,99,5,3.04040404040404,15.363327528659473,13,-1
572,399,67,5,2.4776119402985075,6.898328263160288,2,-1
1172,836,131,17,2.5343511450381677,8.073216312676607,7,-1
476,298,45,5,2.888888888888889,8.891153770860452,4,-1
834,537,87,10,2.7241379310344827,9.73499870934426,0,-1
510,346,47,4,3.1702127659574466,13.311730656290681,4,-1
459,327,52,4,2.6538461538461537,8.891153770860452,9,-1
1131,855,125,12,2.752,9.934710415586288,12,-1
322,247,40,3,2.45,8.891153770860452,3,-1
639,501,71,6,2.971830985915493,10.258885019106316,8,-1
838,342,51,10,2.823529411764706,6.898328263160288,2,-1
642,409,60,8,3.0,11.32030390007297,5,-1
